ORDER_DATE,USER_NM,DESIGNATION,DESIGNATION_REPORT_TO,Path,METRIC_TYPE,VALUE
2024-01-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-01-01,Sales_User_1,SO,ASM North,2,Achieved,552000
2024-01-01,Sales_User_1,SO,ASM North,3,Incentive,27600
2024-02-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-02-01,Sales_User_1,SO,ASM North,2,Achieved,762000
2024-02-01,Sales_User_1,SO,ASM North,3,Incentive,91440
2024-03-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-03-01,Sales_User_1,SO,ASM North,2,Achieved,683999
2024-03-01,Sales_User_1,SO,ASM North,3,Incentive,54719
2024-04-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-04-01,Sales_User_1,SO,ASM North,2,Achieved,636000
2024-04-01,Sales_User_1,SO,ASM North,3,Incentive,50880
2024-05-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-05-01,Sales_User_1,SO,ASM North,2,Achieved,474000
2024-05-01,Sales_User_1,SO,ASM North,3,Incentive,0
2024-06-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-06-01,Sales_User_1,SO,ASM North,2,Achieved,474000
2024-06-01,Sales_User_1,SO,ASM North,3,Incentive,0
2024-07-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-07-01,Sales_User_1,SO,ASM North,2,Achieved,438000
2024-07-01,Sales_User_1,SO,ASM North,3,Incentive,0
2024-08-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-08-01,Sales_User_1,SO,ASM North,2,Achieved,732000
2024-08-01,Sales_User_1,SO,ASM North,3,Incentive,87840
2024-09-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-09-01,Sales_User_1,SO,ASM North,2,Achieved,636000
2024-09-01,Sales_User_1,SO,ASM North,3,Incentive,50880
2024-10-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-10-01,Sales_User_1,SO,ASM North,2,Achieved,672000
2024-10-01,Sales_User_1,SO,ASM North,3,Incentive,53760
2024-11-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-11-01,Sales_User_1,SO,ASM North,2,Achieved,426000
2024-11-01,Sales_User_1,SO,ASM North,3,Incentive,0
2024-12-01,Sales_User_1,SO,ASM North,1,Target,600000
2024-12-01,Sales_User_1,SO,ASM North,2,Achieved,768000
2024-12-01,Sales_User_1,SO,ASM North,3,Incentive,92160
2025-01-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-01-01,Sales_User_1,SO,ASM North,2,Achieved,720000
2025-01-01,Sales_User_1,SO,ASM North,3,Incentive,86400
2025-02-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-02-01,Sales_User_1,SO,ASM North,2,Achieved,498000
2025-02-01,Sales_User_1,SO,ASM North,3,Incentive,24900
2025-03-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-03-01,Sales_User_1,SO,ASM North,2,Achieved,486000
2025-03-01,Sales_User_1,SO,ASM North,3,Incentive,24300
2025-04-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-04-01,Sales_User_1,SO,ASM North,2,Achieved,486000
2025-04-01,Sales_User_1,SO,ASM North,3,Incentive,24300
2025-05-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-05-01,Sales_User_1,SO,ASM North,2,Achieved,528000
2025-05-01,Sales_User_1,SO,ASM North,3,Incentive,26400
2025-06-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-06-01,Sales_User_1,SO,ASM North,2,Achieved,606000
2025-06-01,Sales_User_1,SO,ASM North,3,Incentive,48480
2025-07-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-07-01,Sales_User_1,SO,ASM North,2,Achieved,576000
2025-07-01,Sales_User_1,SO,ASM North,3,Incentive,28800
2025-08-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-08-01,Sales_User_1,SO,ASM North,2,Achieved,522000
2025-08-01,Sales_User_1,SO,ASM North,3,Incentive,26100
2025-09-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-09-01,Sales_User_1,SO,ASM North,2,Achieved,642000
2025-09-01,Sales_User_1,SO,ASM North,3,Incentive,51360
2025-10-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-10-01,Sales_User_1,SO,ASM North,2,Achieved,468000
2025-10-01,Sales_User_1,SO,ASM North,3,Incentive,0
2025-11-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-11-01,Sales_User_1,SO,ASM North,2,Achieved,528000
2025-11-01,Sales_User_1,SO,ASM North,3,Incentive,26400
2025-12-01,Sales_User_1,SO,ASM North,1,Target,600000
2025-12-01,Sales_User_1,SO,ASM North,2,Achieved,552000
2025-12-01,Sales_User_1,SO,ASM North,3,Incentive,27600
2024-01-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-01-01,Sales_User_2,TSI,ASM South,2,Achieved,776000
2024-01-01,Sales_User_2,TSI,ASM South,3,Incentive,38800
2024-02-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-02-01,Sales_User_2,TSI,ASM South,2,Achieved,936000
2024-02-01,Sales_User_2,TSI,ASM South,3,Incentive,74880
2024-03-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-03-01,Sales_User_2,TSI,ASM South,2,Achieved,656000
2024-03-01,Sales_User_2,TSI,ASM South,3,Incentive,32800
2024-04-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-04-01,Sales_User_2,TSI,ASM South,2,Achieved,808000
2024-04-01,Sales_User_2,TSI,ASM South,3,Incentive,64640
2024-05-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-05-01,Sales_User_2,TSI,ASM South,2,Achieved,848000
2024-05-01,Sales_User_2,TSI,ASM South,3,Incentive,67840
2024-06-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-06-01,Sales_User_2,TSI,ASM South,2,Achieved,584000
2024-06-01,Sales_User_2,TSI,ASM South,3,Incentive,0
2024-07-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-07-01,Sales_User_2,TSI,ASM South,2,Achieved,848000
2024-07-01,Sales_User_2,TSI,ASM South,3,Incentive,67840
2024-08-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-08-01,Sales_User_2,TSI,ASM South,2,Achieved,640000
2024-08-01,Sales_User_2,TSI,ASM South,3,Incentive,32000
2024-09-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-09-01,Sales_User_2,TSI,ASM South,2,Achieved,592000
2024-09-01,Sales_User_2,TSI,ASM South,3,Incentive,0
2024-10-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-10-01,Sales_User_2,TSI,ASM South,2,Achieved,1016000
2024-10-01,Sales_User_2,TSI,ASM South,3,Incentive,121920
2024-11-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-11-01,Sales_User_2,TSI,ASM South,2,Achieved,1024000
2024-11-01,Sales_User_2,TSI,ASM South,3,Incentive,122880
2024-12-01,Sales_User_2,TSI,ASM South,1,Target,800000
2024-12-01,Sales_User_2,TSI,ASM South,2,Achieved,952000
2024-12-01,Sales_User_2,TSI,ASM South,3,Incentive,76160
2025-01-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-01-01,Sales_User_2,TSI,ASM South,2,Achieved,704000
2025-01-01,Sales_User_2,TSI,ASM South,3,Incentive,35200
2025-02-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-02-01,Sales_User_2,TSI,ASM South,2,Achieved,608000
2025-02-01,Sales_User_2,TSI,ASM South,3,Incentive,0
2025-03-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-03-01,Sales_User_2,TSI,ASM South,2,Achieved,888000
2025-03-01,Sales_User_2,TSI,ASM South,3,Incentive,71040
2025-04-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-04-01,Sales_User_2,TSI,ASM South,2,Achieved,768000
2025-04-01,Sales_User_2,TSI,ASM South,3,Incentive,38400
2025-05-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-05-01,Sales_User_2,TSI,ASM South,2,Achieved,616000
2025-05-01,Sales_User_2,TSI,ASM South,3,Incentive,0
2025-06-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-06-01,Sales_User_2,TSI,ASM South,2,Achieved,800000
2025-06-01,Sales_User_2,TSI,ASM South,3,Incentive,64000
2025-07-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-07-01,Sales_User_2,TSI,ASM South,2,Achieved,576000
2025-07-01,Sales_User_2,TSI,ASM South,3,Incentive,0
2025-08-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-08-01,Sales_User_2,TSI,ASM South,2,Achieved,1000000
2025-08-01,Sales_User_2,TSI,ASM South,3,Incentive,120000
